,Forecasted Sales
2017-12-31,2752.0550289304274
2018-01-01,2843.706210411796
2018-01-02,2847.827332516971
2018-01-03,2848.0126399743467
2018-01-04,2848.0209723782123
2018-01-05,2848.021347047182
2018-01-06,2848.021363894282
2018-01-07,2848.021364651817
2018-01-08,2848.0213646858797
2018-01-09,2848.0213646874113
2018-01-10,2848.02136468748
2018-01-11,2848.021364687483
2018-01-12,2848.021364687483
2018-01-13,2848.021364687483
2018-01-14,2848.021364687483
2018-01-15,2848.021364687483
2018-01-16,2848.021364687483
2018-01-17,2848.021364687483
2018-01-18,2848.021364687483
2018-01-19,2848.021364687483
2018-01-20,2848.021364687483
2018-01-21,2848.021364687483
2018-01-22,2848.021364687483
2018-01-23,2848.021364687483
2018-01-24,2848.021364687483
2018-01-25,2848.021364687483
2018-01-26,2848.021364687483
2018-01-27,2848.021364687483
2018-01-28,2848.021364687483
2018-01-29,2848.021364687483
